trade_row_loc,original_price,moving_avg,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_hold_penalty,trend_reward,extra_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
130,5790.0,5812.326726,5790.0,0,0.0017958151716802664,0,0,0,0,hold,0,1,0,78.5,10000.0,335.1885502532914,0,10000,0,0.0,0.0,10000
131,5740.01,5813.040714,5740.01,0,0.0017172514672968379,0,0,0,0,hold,0,1,0,79.5,10000.0,245.9560674161312,0,10000,0,0.0,0.0,10000
132,5751.96,5812.064405,5751.96,0,0.00131707046219944,0,0,0,0,hold,0,1,0,80.5,10000.0,267.2868969801257,0,10000,0,0.0,0.0,10000
133,5771.01,5811.35619,5771.01,0,0.0011567928494982766,0,0,0,0,hold,0,1,0,81.5,10000.0,301.2912738164505,0,10000,0,0.0,0.0,10000
134,5793.79,5810.396488,5793.79,0,0.0015703012295520107,0,0,0,0,hold,0,1,0,82.5,10000.0,341.9537254873958,0,10000,0,0.0,0.0,10000
135,5754.97,5809.268214,5754.97,0,0.0016510308105360818,0,0,0,0,hold,0,1,0,83.5,10000.0,272.6597670209303,0,10000,0,0.0,0.0,10000
136,5709.95,5807.869048,5709.95,0,0.0011839206786519963,0,0,0,0,hold,0,1,0,84.5,10000.0,192.29876727440023,0,10000,0,0.0,0.0,10000
137,5740.0,5805.961071,5740.0,0,0.0014820786461340139,0,0,0,0,hold,0,1,0,85.5,10000.0,245.93821734955054,0,10000,0,0.0,0.0,10000
138,5720.15,5804.645536,5720.15,0,0.00164946264144568,0,0,0,0,hold,0,1,0,86.5,10000.0,210.50583518676467,0,10000,0,0.0,0.0,10000
139,5769.6,5803.506607,5769.6,0,0.0016535315942290902,0,0,0,0,hold,0,1,0,87.5,10000.0,298.77441442856616,0,10000,0,0.0,0.0,10000
140,5754.86,5802.071845,5754.86,0,0.0011490315804076636,0,0,0,0,hold,0,1,0,88.5,10000.0,272.46341628854134,0,10000,0,0.0,0.0,10000
141,5768.83,5800.63625,5768.83,0,0.001361361590228307,0,0,0,0,hold,0,1,0,89.5,10000.0,297.39995930184705,0,10000,0,0.0,0.0,10000
142,5822.32,5799.681012,5822.32,0,0.0012529400712477344,0,0,0,0,hold,0,1,0,90.5,10000.0,392.87996544226917,0,10000,0,0.0,0.0,10000
143,5819.91,5798.222143,5819.91,0,0.001113065753398579,0,0,0,0,hold,0,1,0,91.5,10000.0,388.57809939630897,0,10000,0,0.0,0.0,10000
144,5748.52,5796.173095,5748.52,0,0.0013928661530315917,0,0,0,0,hold,0,1,0,92.5,10000.0,261.14647407634766,0,10000,0,0.0,0.0,10000
145,5726.92,5793.892798,5726.92,0,0.0014429289858441158,0,0,0,0,hold,0,1,0,93.5,10000.0,222.59033026193174,0,10000,0,0.0,0.0,10000
146,5739.95,5792.083869,5739.95,0,0.0018213718529497686,0,0,0,0,hold,0,1,0,94.5,10000.0,245.84896701664547,0,10000,0,0.0,0.0,10000
147,5789.58,5790.456667,5789.58,0,0.0012646915243953384,0,0,0,0,hold,0,1,0,95.5,10000.0,334.4388474569005,0,10000,0,0.0,0.0,10000
148,5779.98,5788.6175,5779.98,0,0.0012350196972078374,0,0,0,0,hold,0,1,0,96.5,10000.0,317.30278353938047,0,10000,0,0.0,0.0,10000
149,5781.01,5786.766845,5781.01,0,0.0015262796463196859,0,0,0,0,hold,0,1,0,97.5,10000.0,319.1413403972001,0,10000,0,0.0,0.0,10000
150,5771.96,5784.82619,5771.96,0,0.0010679669266351393,0,0,0,0,hold,0,1,0,98.5,10000.0,302.9870301416213,0,10000,0,0.0,0.0,10000
151,5767.94,5782.956429,5767.94,0,0.001869734150565953,0,0,0,0,hold,0,1,0,99.5,10000.0,295.81130337616014,0,10000,0,0.0,0.0,10000
152,5734.04,5780.789881,5734.04,0,0.0012101704962025747,0,0,0,0,hold,0,1,0,100.5,10000.0,235.29957766742336,0,10000,0,0.0,0.0,10000
153,5680.28,5778.190476,5680.28,0,0.0010082626720722607,0,0,0,0,hold,0,1,0,101.5,10000.0,139.33761972932007,0,10000,0,0.0,0.0,10000
154,5689.99,5775.779643,5689.99,0,0.0013273336795896725,0,0,0,0,hold,0,1,0,102.5,10000.0,156.67003437922722,0,10000,0,0.0,0.0,10000
155,5712.97,5773.416726,5712.97,0,0.0016636594769338369,0,0,0,0,hold,0,1,0,103.5,10000.0,197.68948738178733,0,10000,0,0.0,0.0,10000
156,5669.98,5770.714167,5669.98,0,0.0018213350365943555,0,0,0,0,hold,0,1,0,104.5,10000.0,120.95205115114913,0,10000,0,0.0,0.0,10000
157,5669.97,5767.856905,5669.97,0,0.0018319260957319538,0,0,0,0,hold,0,1,0,105.5,10000.0,120.9342010845703,0,10000,0,0.0,0.0,10000
158,5694.99,5765.323929,5694.99,0,0.001975152930087405,0,0,0,0,hold,0,1,0,106.5,10000.0,165.59506766960112,0,10000,0,0.0,0.0,10000
159,5700.37,5763.659345,5700.37,0,0.001256387325855013,0,0,0,0,hold,0,1,0,107.5,10000.0,175.19840349004335,0,10000,0,0.0,0.0,10000
160,5725.68,5761.782143,5725.68,0,0.001213031037701225,0,0,0,0,hold,0,1,0,108.5,10000.0,220.37692200591846,0,10000,0,0.0,0.0,10000
161,5726.02,5760.008036,5726.02,0,0.0010256211055589524,0,0,0,0,hold,0,1,0,109.5,10000.0,220.98382426966418,0,10000,0,0.0,0.0,10000
